きゃ,ky a
きゅ,ky u
きょ,ky o
きぇ,ky e
にゃ,Ny a
にゅ,Ny u
にょ,Ny o
にぇ,Ny e
みゃ,my a
みゅ,my u
みょ,my o
みぇ,my e
りゃ,ry a
りゅ,ry u
りょ,ry o
りぇ,ry e
びゃ,by a
びゅ,by u
びょ,by o
びぇ,by e
ぴゃ,py a
ぴゅ,py u
ぴょ,py o
ぴぇ,py e
ぎゃ,gy a
ぎゅ,gy u
ぎょ,gy o
ぎぇ,gy e
しゃ,sh y a
しゅ,sh y u
しょ,sh y o
しぇ,sh y e
じゃ,jy a
じゅ,jy u
じょ,jy o
じぇ,jy e
とぅ,t u
いぇ,i e
うぃ,u i
うぉ,u o
うぇ,u e
ヴぁ,w a
ヴぃ,w i
ヴぇ,w e
ヴぉ,w o
くぁ,k a
くぃ,k i
くぇ,k e
くぉ,k o
ぐぁ,g a
ぐぃ,g i
ぐぇ,g e
ぐぉ,g o
すぁ,s a
すぃ,s i
すぇ,s e
すぉ,s o
ずぁ,z a
ずぃ,z i
ずぇ,z e
ずぉ,z o
でぃ,d i
でゃ,dy a
でょ,dy o
でゅ,dy u
てぃ,t i
てゃ,ty a
てょ,ty o
てゅ,ty u
どぅ,d o
ちぇ,ch e
ちゃ,ch a
ちょ,ch o
ちゅ,ch u
つぁ,ts a
つぃ,ts i
つぇ,ts e
つぉ,ts o
ひぇ,h e
ひゃ,hy a
ひょ,hy o
ひゅ,hy u
ふぁ,f a
ふぃ,f i
ふぇ,f e
ふぉ,f o
あ,a
い,i
う,u
え,e
お,o
か,k a
き,k i
く,k u
け,k e
こ,k o
が,g a
ぎ,g i
ぐ,g u
げ,g e
ご,g o
さ,s a
し,sh i
す,s u
せ,s e
そ,s o
ざ,z a
じ,j i
ず,z u
ぜ,z e
ぞ,z o
た,t a
ち,ch i
つ,ts u
て,t e
と,t o
だ,d a
ぢ,j i
づ,z u
で,d e
ど,d o
な,n a
に,n i
ぬ,n u
ね,n e
の,n o
は,h a
ひ,h i
ふ,f u
へ,h e
ほ,h o
ば,b a
び,b i
ぶ,b u
べ,b e
ぼ,b o
ぱ,p a
ぴ,p i
ぷ,p u
ぺ,p e
ぽ,p o
ま,m a
み,m i
む,m u
め,m e
も,m o
や,y a
ゆ,y u
よ,y o
ら,r a
り,r i
る,r u
れ,r e
ろ,r o
わ,w a
を,w o
ん,N
ヴ,wu
吸息,=
息,<
吸,>
